source_path	destination_path	size_bytes	source_SHA256	category	scientific_purpose
/home/rahnn/260908_MiBG/analysis/bgcprophet_reference/README.md	/home/rahnn/projects/viral-gt-research-record/results/WP07_mibig_reference_atlas/published_reference/README.md	9271	ac6a268a9bc7f2c027723be537acda86ba6eecaf20cc4294f0484a0e878d5cd1	REPORT	published_reference: archived report evidence
/home/rahnn/260908_MiBG/analysis/bgcprophet_reference/scripts/analyze_reference.py	/home/rahnn/projects/viral-gt-research-record/scripts/archive/WP07_mibig_reference_atlas/published_reference/analyze_reference.py	18557	870ed6114b27a064fefe19ba3b244bdaf63eb417221deff176a665122358a98c	SCRIPT	Actual validated published_reference source; unchanged historical paths and logic
/home/rahnn/260908_MiBG/analysis/bgcprophet_reference/scripts/plot_umap_all_bgc_classes.py	/home/rahnn/projects/viral-gt-research-record/scripts/archive/WP07_mibig_reference_atlas/published_reference/plot_umap_all_bgc_classes.py	4814	41a8fa1a9674a18ef9872496d8eb409282ddd5ce28bd2cdb728245223c59c058	SCRIPT	Actual validated published_reference source; unchanged historical paths and logic
/home/rahnn/260908_MiBG/analysis/bgcprophet_reference/scripts/verify_and_summarize.py	/home/rahnn/projects/viral-gt-research-record/scripts/archive/WP07_mibig_reference_atlas/published_reference/verify_and_summarize.py	8014	2fec5b6ba8183a15bce972cf765e52ec65db5105df35634ea2e72c9cb55aa809	SCRIPT	Actual validated published_reference source; unchanged historical paths and logic
/home/rahnn/260908_MiBG/analysis/core_context_consensus_step3_20260911/README.md	/home/rahnn/projects/viral-gt-research-record/results/WP07_mibig_reference_atlas/consensus_ablation/README.md	19825	28b0c14aab57c4ed97ad74328808acf06bab09f8d6aa4b04afe84665667ef6d5	REPORT	consensus_ablation: archived report evidence
/home/rahnn/260908_MiBG/analysis/core_context_consensus_step3_20260911/scripts/common.py	/home/rahnn/projects/viral-gt-research-record/scripts/archive/WP07_mibig_reference_atlas/consensus_ablation/common.py	2247	ba15c9e1099652b699d6ca09d75d8f586f6cdb1a1146bc71f09fbb14e446a2e6	SCRIPT	Actual validated consensus_ablation source; unchanged historical paths and logic
/home/rahnn/260908_MiBG/analysis/core_context_consensus_step3_20260911/scripts/compare_knn.py	/home/rahnn/projects/viral-gt-research-record/scripts/archive/WP07_mibig_reference_atlas/consensus_ablation/compare_knn.py	6158	a8188715b24768b5328c010b980245e09d51e5cd76613ce826e456c24dbcd738	SCRIPT	Actual validated consensus_ablation source; unchanged historical paths and logic
/home/rahnn/260908_MiBG/analysis/core_context_consensus_step3_20260911/scripts/construct_consensus.py	/home/rahnn/projects/viral-gt-research-record/scripts/archive/WP07_mibig_reference_atlas/consensus_ablation/construct_consensus.py	4335	15890d70865388fc3b20bf0eccbb0b37b75dd105fdcd916852e06a81749ce2a8	SCRIPT	Actual validated consensus_ablation source; unchanged historical paths and logic
/home/rahnn/260908_MiBG/analysis/core_context_consensus_step3_20260911/scripts/geometry.py	/home/rahnn/projects/viral-gt-research-record/scripts/archive/WP07_mibig_reference_atlas/consensus_ablation/geometry.py	7217	37fd287dc1d2036ddc38555b2b44e62ce56d4e6e042058aab78288d47d6ded6e	SCRIPT	Actual validated consensus_ablation source; unchanged historical paths and logic
/home/rahnn/260908_MiBG/analysis/core_context_consensus_step3_20260911/scripts/preview_figures.py	/home/rahnn/projects/viral-gt-research-record/scripts/archive/WP07_mibig_reference_atlas/consensus_ablation/preview_figures.py	451	8d1089561ba3d36d20585ff2f94645968e6f33651500be64ee6e0f4b3834e4d4	SCRIPT	Actual validated consensus_ablation source; unchanged historical paths and logic
